Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-07-09,254.9729649231747,255.41823593262316,251.97327154002355,253.56686401367188,8681444,-0.5515,251.26,237.69,229.33,223.79,257.22,195.45
2024-07-10,253.56688905664868,254.6683234349948,249.23141082416439,251.01246643066406,9233748,-1.0074,251.81,239.08,230.58,224.45,257.22,195.45
2024-07-11,251.55147801323736,252.88726253836919,248.41118001612216,250.3328399658203,8807618,-0.4844,251.53,240.42,231.88,225.12,257.22,195.45
2024-07-12,255.44168928176285,264.7219504369816,253.8246673621174,262.5425109863281,54186042,2.7798,252.95,242.24,233.8,226.04,264.72,195.45
2024-07-15,265.7062214945412,265.7062214945412,260.66769308026113,262.3315734863281,16099478,-1.2701,254.89,244.17,235.7,227.0,265.71,195.45
2024-07-16,263.3392620048659,263.69078724307144,260.784868159663,262.3315734863281,11239032,-0.3827,256.54,245.76,237.51,227.96,265.71,195.45
2024-07-18,260.8551553881567,269.2214732007658,260.7614096034311,268.6590270996094,25019786,2.9916,258.68,247.57,239.62,229.03,269.22,195.45
2024-07-19,271.79932340076317,271.79932340076317,259.98806977220414,261.1598205566406,26523490,-3.9145,259.77,249.14,241.27,229.9,271.8,195.45
2024-07-22,244.19286943918488,246.88789630919507,235.0766423922326,237.06861877441406,76014568,-2.9175,257.78,249.49,241.97,230.3,271.8,195.45
2024-07-23,238.09976379741474,238.09976379741474,227.95240467739822,234.60794067382812,25847632,-1.4665,255.53,249.73,242.22,230.72,271.8,195.45
2024-07-24,235.52191160251942,237.32641070138783,234.27985861100697,234.39703369140625,12240276,-0.4776,251.51,249.8,242.61,231.17,271.8,195.45
2024-07-25,232.47535915579414,237.86541284589825,231.2098625679824,237.56076049804688,21887890,2.1875,247.97,250.08,243.09,231.69,271.8,195.45
2024-07-26,239.03716370040993,247.73154893317167,238.33411321893814,245.9739227294922,26153996,2.902,245.63,250.41,243.84,232.33,271.8,195.45
2024-07-29,247.47376291497562,248.6689429803416,245.05994488305888,245.7864532470703,12011554,-0.6818,242.36,250.63,244.49,232.95,271.8,195.45
2024-07-30,245.7864425961582,246.9816226097322,243.60697481296208,244.4272003173828,10816526,-0.553,239.97,250.49,245.18,233.48,271.8,195.45
2024-07-31,244.56781427582933,246.02080239068675,243.46637999813763,244.66156005859375,7758508,0.0383,241.06,250.11,245.65,234.06,271.8,195.45
2024-08-01,245.13025897958767,246.91131441325822,242.5524073077182,244.4506378173828,10759752,-0.2772,242.47,249.7,246.05,234.62,271.8,195.45
2024-08-02,241.3806507430725,243.3726269870687,234.81884664520257,235.35784912109375,15652228,-2.4951,242.6,249.03,246.23,235.01,271.8,195.45
2024-08-05,229.66315798415351,232.4050577310106,225.09332984059128,227.3196563720703,21938080,-1.0204,241.14,247.86,246.15,235.19,271.8,195.45
2024-08-06,229.545977568115,234.04550341945009,228.069574447539,229.42880249023438,11271584,-0.051,238.78,246.65,246.13,235.43,271.8,195.45
2024-08-07,233.74086504405375,234.39704265867312,230.90521940774983,233.1315460205078,7079826,-0.2607,236.97,245.63,246.14,235.85,271.8,195.45
2024-08-08,231.5379571546469,231.5379571546469,227.9524025816965,228.3976593017578,13160570,-1.3563,234.68,244.5,246.02,236.14,271.8,195.45
2024-08-09,232.17070581106705,232.68627902253954,229.49910827209058,230.2724609375,6065948,-0.8176,232.62,243.49,245.71,236.52,271.8,195.45
2024-08-12,230.38963102077716,231.53795249853513,228.44452760038564,229.21788024902344,7338468,-0.5086,230.45,241.83,245.31,237.01,271.8,195.45
2024-08-13,229.21788552915535,230.92865313820266,228.3273577828285,229.8975067138672,6289418,0.2965,229.67,240.21,244.73,237.5,271.8,195.45
2024-08-14,231.06926248414877,232.873761613761,229.87408236515307,232.07696533203125,11121756,0.4361,230.35,238.69,244.06,237.98,271.8,195.45
2024-08-16,234.818857676065,242.52898357469255,233.3893274376002,241.96653747558594,25931140,3.0439,232.14,237.36,243.7,238.71,271.8,195.45
