Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-05-17,2260.6853282003162,2260.6853282003162,2225.3127434849703,2230.359130859375,1264582,-1.3415,2249.97,2196.93,2184.03,2184.88,2296.92,2087.81
2024-05-21,2217.5267973053774,2234.636500499877,2212.4804099252933,2221.083251953125,1663959,0.1604,2247.92,2200.73,2185.48,2185.97,2296.92,2087.81
2024-05-22,2221.3716006338227,2281.92824747066,2221.0831887144805,2275.103515625,1914851,2.4189,2248.51,2206.76,2188.75,2188.6,2296.92,2087.81
2024-05-23,2275.103559438179,2294.2319112772707,2263.665175350866,2290.0986328125,1614718,0.6591,2251.51,2212.51,2192.45,2191.5,2296.92,2087.81
2024-05-24,2286.253860797852,2290.819640002725,2272.9890237524455,2277.17041015625,974100,-0.3973,2254.18,2217.74,2195.66,2193.88,2296.92,2087.81
2024-05-27,2277.1702464713717,2306.871745716128,2270.874230770176,2292.02099609375,1116934,0.6522,2262.59,2225.13,2199.52,2196.53,2306.87,2087.81
2024-05-28,2297.30790719324,2315.571024447078,2286.3020229404683,2303.027099609375,1631747,0.249,2269.84,2233.45,2203.84,2199.33,2315.57,2087.81
2024-05-29,2288.8490994991575,2302.1139365481226,2277.5066958001285,2281.3515625,1592495,-0.3276,2277.12,2240.53,2208.36,2201.43,2315.57,2087.81
2024-05-30,2276.161370792457,2280.43873859623,2243.528107533288,2260.205078125,1837380,-0.701,2282.71,2246.35,2213.41,2202.9,2315.57,2087.81
2024-05-31,2261.743018110778,2285.24472076957,2227.7160389489504,2238.721923828125,5529186,-1.0178,2277.51,2251.28,2216.87,2203.78,2315.57,2087.81
2024-06-03,2288.6569058773034,2294.8567065039656,2253.380300797559,2264.5302734375,1207445,-1.0542,2273.86,2257.96,2221.4,2205.22,2315.57,2087.81
2024-06-04,2281.9282672744675,2412.701836012871,2251.2655508121684,2399.485107421875,7826048,5.1516,2291.33,2269.5,2229.88,2209.74,2412.7,2087.81
2024-06-05,2435.2907329003897,2618.306307405162,2427.0722827905884,2501.806884765625,11061076,2.7313,2321.3,2280.23,2241.45,2216.38,2618.31,2087.81
2024-06-06,2499.1634909043833,2499.1634909043833,2420.343719268168,2450.71826171875,4102547,-1.9385,2342.4,2290.25,2250.64,2221.59,2618.31,2087.81
2024-06-07,2456.197087082178,2495.799168294792,2427.0721740590598,2477.824462890625,3974253,0.8805,2370.47,2302.37,2260.82,2227.16,2618.31,2087.81
2024-06-10,2478.9774454365447,2493.059173814988,2447.2572997601565,2465.85693359375,1449122,-0.5293,2399.85,2312.12,2271.53,2232.24,2618.31,2087.81
2024-06-11,2466.4819457138465,2476.766917025401,2452.352107768287,2457.206298828125,1402423,-0.3761,2431.06,2321.53,2282.23,2236.92,2618.31,2087.81
2024-06-12,2468.404030101699,2468.404030101699,2419.38198744781,2430.628173828125,1754677,-1.5304,2454.79,2330.13,2291.92,2240.88,2618.31,2087.81
2024-06-13,2391.4588918675045,2408.6167027553947,2351.568401318949,2390.93017578125,3123098,-0.0221,2453.57,2338.02,2300.15,2243.88,2618.31,2087.81
2024-06-14,2400.2478917119292,2436.5475426423045,2397.724285194477,2406.79931640625,1729552,0.2729,2439.99,2345.75,2309.05,2248.07,2618.31,2087.81
2024-06-18,2406.9448672441335,2424.512486448906,2400.3934423908386,2413.108154296875,1820933,0.2561,2434.62,2354.88,2318.45,2252.37,2618.31,2087.81
2024-06-19,2421.600847069597,2421.600847069597,2379.380551739927,2384.71875,986976,-1.523,2421.32,2363.07,2325.65,2256.52,2618.31,2087.81
2024-06-20,2384.7186407596823,2416.7478288529137,2374.6730278925506,2409.17724609375,2163310,1.0256,2413.22,2369.77,2329.72,2261.16,2618.31,2087.81
